Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Areeba,19.0,Female,98.0,,Lahore,Accepted
Sameer,20.0,Male,67.0,77.66,Islamabad,Accepted
Hiba,18.0,Female,73.0,79.55,Quetta,Rejected
Arsalan,21.0,Male,60.0,60.77,Multan,Rejected
Sumbal,22.0,Female,101.0,87.55,Karachi,Accepted
Noman,24.0,Male,72.0,74.55,Lahore,Accepted
Aqsa,19.0,Female,85.0,90.55,Islamabad,Accepted
Rehan,20.0,Male,49.0,,Quetta,Rejected
Mariam,18.0,Female,93.0,93.55,Multan,Accepted
Shahzaib,21.0,Male,65.0,68.99,Karachi,Rejected
Anum,22.0,Female,90.0,87.55,Lahore,Accepted
Owais,23.0,Male,,56.77,Islamabad,Rejected
Hafsa,19.0,Female,76.0,82.55,Quetta,Accepted
Junaid,20.0,Male,63.0,69.77,Multan,Rejected
Ayesha,18.0,Female,99.0,,Karachi,Accepted
Faizan,21.0,Male,56.0,62.99,Lahore,Rejected
Sadia,22.0,Female,88.0,89.77,Islamabad,Accepted
Moiz,23.0,Male,74.0,78.99,Quetta,
Laiba,19.0,Female,95.0,91.55,Multan,Accepted
Hamid,20.0,Male,61.0,,Karachi,Rejected
Zoya,18.0,Female,97.0,94.88,Lahore,Accepted
Adnan,21.0,Male,59.0,61.77,Islamabad,Rejected
Hania,22.0,Female,,88.55,Quetta,Accepted
Sikandar,24.0,Male,71.0,73.55,Multan,Accepted
Eman,19.0,Female,83.0,,Karachi,Accepted
Shiraz,20.0,Male,52.0,52.99,Lahore,Rejected
Mishal,18.0,Female,91.0,90.55,Islamabad,Accepted
Adeel,22.0,Male,73.0,82.01,Karachi,Rejected
Maliha,20.0,Female,87.0,,Lahore,Accepted
Shayan,19.0,,65.0,56.88,Islamabad,Rejected
Rida,18.0,Female,93.0,103.4,Quetta,Accepted
Furqan,24.0,Male,56.0,59.44,Multan,
Sehrish,23.0,Female,79.0,91.33,Karachi,Accepted
Hassan,25.0,Male,,70.01,Lahore,Rejected
Iqra,18.0,Female,87.0,87.55,Islamabad,Accepted
Talha,21.0,Male,47.0,51.44,Quetta,Rejected
Nimra,19.0,Female,100.0,,Multan,Accepted
Ahsan,22.0,Male,70.0,60.01,Karachi,Rejected
Sahar,20.0,Female,95.0,89.33,Lahore,Accepted
Danish,24.0,Male,59.0,65.22,Islamabad,Rejected
Mehak,23.0,Female,76.0,81.44,Quetta,Accepted
Rafay,21.0,Male,88.0,76.11,Multan,Accepted
Sonia,20.0,Female,71.0,,Karachi,Rejected
Zubair,25.0,Male,103.0,58.44,Lahore,Rejected
Hoorain,19.0,Female,97.0,92.44,Islamabad,Accepted
Ammar,22.0,Male,63.0,71.11,Quetta,Accepted
Nadia,23.0,Female,,88.44,Multan,Rejected
Yasir,24.0,Male,54.0,53.44,Karachi,Rejected
Areeba,20.0,Female,99.0,,Lahore,Accepted
Sameer,21.0,Male,68.0,77.22,Islamabad,Accepted
Hiba,19.0,Female,74.0,79.11,Quetta,Rejected
Arsalan,22.0,Male,61.0,60.33,Multan,Rejected
Sumbal,23.0,Female,102.0,87.11,Karachi,Accepted
Noman,25.0,Male,73.0,74.11,Lahore,Accepted
Aqsa,20.0,Female,86.0,90.11,Islamabad,Accepted
Rehan,21.0,Male,50.0,,Quetta,Rejected
Mariam,19.0,Female,94.0,93.11,Multan,Accepted
Shahzaib,22.0,Male,66.0,68.55,Karachi,Rejected
Anum,23.0,Female,91.0,87.11,Lahore,Accepted
Owais,24.0,Male,,56.33,Islamabad,Rejected
Hafsa,20.0,Female,77.0,82.11,Quetta,Accepted
Junaid,21.0,Male,64.0,69.33,Multan,Rejected
Ayesha,19.0,Female,100.0,,Karachi,Accepted
Faizan,22.0,Male,57.0,62.55,Lahore,Rejected
Sadia,23.0,Female,89.0,89.33,Islamabad,Accepted
Moiz,24.0,Male,75.0,78.55,Quetta,
Laiba,20.0,Female,96.0,91.11,Multan,Accepted
Hamid,21.0,Male,62.0,,Karachi,Rejected
Zoya,19.0,Female,98.0,94.44,Lahore,Accepted
Adnan,22.0,Male,60.0,61.33,Islamabad,Rejected
Hania,23.0,Female,,88.11,Quetta,Accepted
Sikandar,25.0,Male,72.0,73.11,Multan,Accepted
Eman,20.0,Female,84.0,,Karachi,Accepted
Shiraz,21.0,Male,53.0,52.55,Lahore,Rejected
Mishal,19.0,Female,92.0,90.11,Islamabad,Accepted
Ahsan,19.0,Male,67.0,72.44,Karachi,Rejected
Maira,18.0,Female,92.0,,Lahore,Accepted
Talha,22.0,Male,54.0,61.77,Quetta,Rejected
Nimra,20.0,Female,88.0,95.12,Islamabad,Accepted
Haris,23.0,Male,,83.44,Multan,Rejected
Sadia,21.0,Female,79.0,89.33,Karachi,Accepted
Adeel,17.0,Male,63.0,57.22,,Rejected
Mehwish,22.0,Female,91.0,93.77,Quetta,Accepted
Zainab,19.0,Female,84.0,76.55,Lahore,Rejected
Shahzaib,24.0,Male,72.0,,Islamabad,Accepted
Hoor,18.0,Female,97.0,90.44,Multan,Accepted
Furqan,21.0,Male,58.0,62.33,Karachi,Rejected
Areeba,20.0,Female,,81.55,Quetta,Rejected
Usama,23.0,Male,74.0,79.22,Lahore,Accepted
Hina,19.0,Female,89.0,94.66,Islamabad,Accepted
Sarmad,22.0,Male,61.0,,Multan,Rejected
Laiba,18.0,Female,93.0,88.12,Karachi,Accepted
Noman,21.0,Male,52.0,54.44,Quetta,Rejected
Aqsa,17.0,Female,98.0,92.77,Lahore,Accepted
Rehan,20.0,Male,69.0,71.88,Islamabad,Rejected
Maham,23.0,Female,77.0,,Multan,Accepted
Hassan,24.0,Male,63.0,70.33,Karachi,Rejected
Shoaib,19.0,Male,81.0,85.44,Quetta,Accepted
Zoya,18.0,Female,96.0,,Lahore,Accepted
Imran,22.0,Male,55.0,60.12,Islamabad,Rejected
Bushra,20.0,Female,94.0,98.55,Multan,Accepted
Ayan,17.0,Male,72.0,67.44,Karachi,Rejected
Sana,21.0,Female,,84.33,Quetta,Rejected
Hamza,23.0,Male,99.0,87.22,Lahore,Accepted
Iqra,18.0,Female,85.0,88.55,,Accepted
Rohail,20.0,Male,64.0,66.12,Multan,Rejected
Nida,19.0,Female,82.0,,Karachi,Accepted
Asad,22.0,Male,51.0,52.77,Islamabad,Rejected
Hoorain,17.0,Female,95.0,93.22,Quetta,Accepted
Faizan,21.0,Male,56.0,63.55,Lahore,Rejected
Ayesha,18.0,Female,98.0,97.44,Karachi,Accepted
Zubair,23.0,Male,,59.12,Islamabad,Rejected
Mehak,20.0,Female,74.0,82.33,Multan,Accepted
Talal,24.0,Male,68.0,75.44,Quetta,Rejected
Sumbal,19.0,Female,100.0,88.22,Karachi,Accepted
Junaid,22.0,Male,63.0,,Lahore,Rejected
Hiba,17.0,Female,72.0,80.22,Quetta,Rejected
Ammar,21.0,Male,61.0,72.22,Islamabad,Accepted
Maria,18.0,Female,99.0,,Multan,Accepted
Sikandar,23.0,Male,70.0,74.22,Karachi,Accepted
Eman,19.0,Female,83.0,89.77,,Accepted
Shiraz,20.0,Male,52.0,53.22,Lahore,Rejected
Mishal,17.0,Female,90.0,91.44,Islamabad,Accepted
Adeel,21.0,Male,73.0,82.33,Quetta,Rejected
Maliha,20.0,Female,87.0,79.33,Lahore,Accepted
Shayan,18.0,Male,66.0,,Islamabad,Rejected
Rida,19.0,Female,92.0,101.55,Quetta,Accepted
Feroze,22.0,Male,55.0,59.33,Multan,Rejected
Sehrish,23.0,Female,78.0,92.55,Karachi,Accepted
Hassan,24.0,Male,,70.55,Lahore,Rejected
Iqra,17.0,Female,86.0,88.66,Islamabad,Accepted
Talha,18.0,Male,48.0,52.33,Quetta,Rejected
Nimra,20.0,Female,99.0,,Multan,Accepted
Ahsan,21.0,Male,69.0,60.33,Karachi,Rejected
Sahar,19.0,Female,94.0,90.77,Lahore,Accepted
Danish,24.0,Male,58.0,66.33,Islamabad,Rejected
Mehak,22.0,Female,75.0,82.55,Quetta,Accepted
Rafay,20.0,Male,87.0,77.22,Multan,Accepted
Sonia,19.0,Female,70.0,,Karachi,Rejected
Zubair,24.0,Male,102.0,58.55,Lahore,Rejected
Hoorain,18.0,Female,96.0,93.55,Islamabad,Accepted
Ammar,21.0,Male,62.0,72.11,Quetta,Accepted
Nadia,22.0,Female,,89.66,Multan,Rejected
Yasir,23.0,Male,53.0,54.22,Karachi,Rejected
